::ffff:127.0.0.1 - - [28/Mar/2023:21:59:20 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:54 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:54 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:54 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:54 +0000] "GET /v1/users HTTP/1.1" 200 326 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:54 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:21:59:54 +0000] "GET /v1/users/33 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:09 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:09 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:09 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:09 +0000] "GET /v1/pets HTTP/1.1" 200 307 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:09 +0000] "PATCH /v1/pets/10 HTTP/1.1" 200 49 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:12 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:24 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:24 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:25 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:25 +0000] "GET /v1/users HTTP/1.1" 200 326 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:25 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:01:25 +0000] "GET /v1/users/42 HTTP/1.1" 200 181 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:31 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:31 +0000] "POST /v1/auth/login HTTP/1.1" 404 499 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:31 +0000] "POST /v1/auth/login HTTP/1.1" 400 7541 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:31 +0000] "GET /v1/pets HTTP/1.1" 200 308 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:31 +0000] "PATCH /v1/pets/12 HTTP/1.1" 200 49 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:31 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:32 +0000] "POST /v1/auth/register HTTP/1.1" 200 52 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:32 +0000] "POST /v1/auth/register HTTP/1.1" 400 530 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:32 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:32 +0000] "GET /v1/users HTTP/1.1" 200 326 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:32 +0000] "POST /v1/auth/login HTTP/1.1" 200 313 "-" "-"
::ffff:127.0.0.1 - - [28/Mar/2023:22:09:32 +0000] "GET /v1/users/51 HTTP/1.1" 200 181 "-" "-"
